Date,Closing Price,Volume,Open Price,Closing Price 1 Day Ago,High Price,Low Price
03-06-2022,198.98,7191775,200.14,205.09,202.95,198.05
02-06-2022,205.09,9623121,192.02,192.91,205.47,191.72
01-06-2022,192.91,8416151,198.7,197.44,202.74,191.6606
31-05-2022,197.44,11398460,196.18,195.19,199.95,190.8
27-05-2022,195.19,8585987,193.19,191.4,195.25,190.3722
26-05-2022,191.4,8049933,186.49,187.83,192.3402,183.0916
25-05-2022,187.83,8522092,180.28,180.34,188.87,180.17
24-05-2022,180.34,7706372,182,187.44,184,177.17
23-05-2022,187.44,9602027,186.15,186.35,187.66,177.89
20-05-2022,186.35,10429396,185.8665,183.48,190.19,179.77
19-05-2022,183.48,10448513,178.045,177.19,186.3,175.71
18-05-2022,177.19,9665632,186.72,190.56,187.7,176.27
17-05-2022,190.56,9876685,189.17,186.51,191.4,185.17
16-05-2022,186.51,16145011,193.3,187.64,195.89,185.7
13-05-2022,187.64,13136334,177.16,174.31,187.77,176.01
12-05-2022,174.31,17662118,163.96,166.37,177.58,162.71
11-05-2022,166.37,12665518,176.09,177.66,180.92,165.55
10-05-2022,177.66,13883905,176.01,173.1,181.8712,170.57
09-05-2022,173.1,14031327,177.655,180.97,183.2,172.3
06-05-2022,180.97,17185476,186.75,188.32,187.21,175.81
05-05-2022,188.32,13971326,200.45,204.01,200.71,186
04-05-2022,204.01,12218781,197.65,199.87,204.38,191.01
03-05-2022,199.87,11839431,198.29,199.46,203.2,194.77
02-05-2022,199.46,14591602,191.71,190.36,200.2141,190.01
29-04-2022,190.36,16391889,198.68,199.52,204.71,190
28-04-2022,199.52,21363162,191.56,188.54,201.48,185.6
27-04-2022,188.54,22298394,194.005,198.4,200.19,187.77
26-04-2022,198.4,20318088,208.8,209.91,209.15,198.2773
25-04-2022,209.91,28152044,213.81,215.52,216.66,204.51
22-04-2022,215.52,37515128,220.18,218.22,226.27,210.05
21-04-2022,218.22,53501604,220,226.19,227.68,211.52
20-04-2022,226.19,133387480,245.2,348.61,248.7,212.51
19-04-2022,348.61,20906884,333.22,337.86,351.68,333.22
18-04-2022,337.86,5105041,340,341.13,342.36,331.615
14-04-2022,341.13,4343837,350.95,350.43,352,339.86
13-04-2022,350.43,3230950,343.92,344.1,352,341.155
12-04-2022,344.1,3824261,355.91,348,359.41,342.25
11-04-2022,348,3777096,350,355.88,354.78,345.2
08-04-2022,355.88,4025183,361.96,362.15,362.5,354.865
07-04-2022,362.15,4948909,365,368.35,368.54,353.6897
06-04-2022,368.35,4354885,374.15,380.15,376.4699,362.73
05-04-2022,380.15,4234508,389.3,391.5,390,377.305
04-04-2022,391.5,7009235,373.55,373.47,396.02,373.13
01-04-2022,373.47,4644237,376.8,374.59,380.87,368.5
31-03-2022,374.59,4134720,383.59,381.47,384,373.61
30-03-2022,381.47,4023301,389.55,391.82,392.7,378.625
29-03-2022,391.82,5880723,384.39,378.51,396.5,380.33
28-03-2022,378.51,4323435,375.23,373.85,380.28,366.73
25-03-2022,373.85,3575953,377.07,375.71,377.64,366.43
24-03-2022,375.71,3888461,379.76,374.49,379.76,368.9
23-03-2022,374.49,3728954,379.77,382.92,382.46,374.49
22-03-2022,382.92,4242762,371.14,374.59,386.66,366.76
21-03-2022,374.59,4866463,378.02,380.6,381.82,368.94
18-03-2022,380.6,8324825,372,371.4,381.8,368.47
17-03-2022,371.4,5818348,359.7,357.53,373.31,354.88
16-03-2022,357.53,6982469,348.2,343.75,359.99,343.06
15-03-2022,343.75,5460640,335.1,331.01,345.36,332.36
14-03-2022,331.01,5907817,338.72,340.32,341.32,329.82
11-03-2022,340.32,4819925,361.19,356.77,363.36,340
